x,y,z
4688.9575638750002,2212.9739597500002,3325.6736185
4675.4862141249996,2227.0482025000001,3342.23228499999
4666.9559445000004,2234.1120182499999,3349.1145704999899
4660.9839414999997,2235.77000825,3351.7726235
4640.4300213750003,2241.6892927499998,3363.2104975000002
4631.2854929374998,2251.5009342500098,3357.3603629999998
4622.3274889374998,2252.8273272500001,3358.0248759999999
4618.3461539375003,2255.4801122499998,3355.3668240000002
4654.4462919999996,2244.8195067500001,3360.3161909999899
4644.8429969999997,2250.3759422500002,3374.7756249999902
4639.3036111874999,2257.4006955,3383.010374
4619.5209586250003,2270.1589652500002,3380.8605849999999
4603.0821625625003,2284.0964892500101,3397.552064
4597.4226595624996,2284.3161137500001,3404.6140369999898
4588.9041086875004,2288.33695175,3420.506312
4583.2455822499996,2286.5474559999998,3430.2419620000001
4684.4056995624996,2222.0508020000102,3338.5208969999899
4685.7057210624998,2220.36286875,3347.2207154999901
4687.5752943124999,2211.9309990000002,3351.7041129999998
4688.8753158125,2205.5928802499998,3357.7536909999899
4691.0505541250004,2195.8085824999998,3367.6377794999999
4696.3338637500001,2188.4600437499998,3377.3578044999999
4697.5157201874999,2177.0294737499999,3387.9220309999901
4706.4737251875003,2174.7082867499998,3387.9220309999901
4708.0386109375004,2169.0489889999999,3382.0052655
4707.0432769375002,2163.4118210000001,3382.0052655
4709.7929508124998,2141.0749770000002,3382.6500215000001
4711.9720943749999,2125.4195694999999,3389.5438009999898
4718.6577487499999,2102.7081667500001,3385.9923434999901
4720.4179469999999,2077.5275657500001,3386.3048434999901
4727.2710261875,2064.6330105000002,3390.11591549999
4686.7010540624997,2221.6892607499999,3352.2045634999999
4678.396804,2223.2561082500001,3371.6699304999902
4675.8404895000003,2227.9596744999999,3383.2272454999902
4671.1724142499997,2227.8828572500001,3392.2827575000001
4666.5043390000001,2229.4523112500001,3402.0105959999901
4658.9742861875002,2238.111617,3414.56468
4646.8322548124997,2246.908508,3432.0052580000001
4645.1550633750003,2248.7626850000001,3443.7578855000002
4640.9303474999997,2251.2514074999999,3465.4456074999898
4626.6302233124998,2251.9011607500001,3482.3447930000002
4691.1091478750004,2228.1015992500002,3360.4002499999901
4692.4101449375003,2230.0378074999999,3370.7691639999998
4699.8071694375003,2236.4384262499998,3380.6339459999999
4705.5221196875,2244.7440042500002,3395.8916055
4705.2679966249998,2255.0079202500001,3418.4667224999998
4720.2032135625004,2259.3161057500001,3442.9774599999901
4722.6304049999999,2270.02359325,3457.4547714999899
4732.0249324375,2276.4242129999998,3464.9546949999899
4731.3401453124998,2279.24584125,3471.3912175
4682.1113206250002,2227.3824079999999,3325.1772999999998
4680.934346,2236.5113222499999,3321.3128919999999
4671.3212853750001,2242.1458827500001,3332.0628154999999
4664.4760186875001,2250.2617795000001,3334.5724300000002
4658.8096797500002,2252.8807149999998,3339.2695454999898
4643.1699286249996,2278.06955475,3347.0580810000001
4636.6352088125004,2286.1516020000099,3353.6081104999998
4622.8265123749998,2302.9242049999998,3355.785468
4615.9861284999997,2315.4016580000002,3355.629218
4609.18524075,2325.811389,3355.6779714999998
4677.9829573124998,2240.8416204999999,3323.7108789999902
4668.3352833749996,2244.1354717499999,3330.0692764999999
4660.4946836874997,2251.5881715,3331.2498649999902
4654.6467041249998,2262.0408792500002,3331.7581279999999
4649.6700351250001,2268.6728412500001,3330.4291019999901
4640.5650028125001,2282.4675590000002,3325.38598399999
4631.6069988125,2286.4467360000099,3321.0666489999999
4621.4729967499998,2299.2661979999998,3313.2620379999998
4614.3259722499997,2311.4302765000002,3305.1407949999998
4607.3893423125,2316.0570174999998,3302.9731274999899
4594.2712923749996,2326.231507,3294.5508785000002
4590.2899573750001,2329.8790859999999,3293.2218524999898
4646.5600106874999,2252.5829655000098,3333.907917
4635.7709510000004,2266.0122357499999,3334.1951774999902
4626.8129470000003,2271.6494037500001,3332.8661514999999
4619.6629928125003,2280.4779699999999,3327.3795230000001
4614.6863238124997,2280.4779699999999,3322.0634190000001
4614.3806597499997,2281.5066135000002,3315.0561334999902
4681.9296800000002,2240.4904992500001,3317.65807
4684.6129476249998,2245.1432842499999,3308.6572455
4686.4249036874999,2253.9484130000001,3299.1601014999901
4689.1091478750004,2257.91846975,3291.1716710000001
4691.7943676249997,2263.870304,3279.2039749999999
4692.6129438124999,2274.6572082500002,3269.0813794999999
4694.4288061249999,2285.4519260000002,3257.9698284999999
4702.0926490000002,2294.0331067500001,3248.0191089999998
4712.8455748750002,2303.82913125,3233.798182
4713.6719635625004,2313.3091747499998,3221.7132984999898
4716.0681208124997,2320.7770672500001,3207.8627900000001
4724.0307918125,2323.42985125,3206.8660199999999
4687.7796126875,2229.3824079999999,3318.8189025000001
4687.901683,2237.8377142499999,3314.3355040000001
4690.5849496250003,2243.1536952500001,3304.3379095
4694.2645278125001,2246.7999675000001,3300.9854459999901
4696.3782416875001,2253.9484130000001,3296.8343055
4695.2051733124999,2267.0721292500002,3289.3541380000001
4689.3571947500004,2278.8902925000002,3286.5320234999999
4687.0657455,2287.1633127499999,3276.2256094999998
4682.6098011249996,2301.2648912499999,3258.4780915000001
4684.1297649999997,2319.9893115,3234.7890179999999
4681.9691761249996,2332.4576442500002,3227.3791629999901
4683.2223226249998,2352.2319802500001,3229.4080840000001
4687.2036576250002,2360.1903352499999,3227.0822879999901
4700.1201203125001,2273.4022852500002,3286.492319
